date,value
2020-02-16,12 
2020-02-17,12 
2020-02-18,12 
2020-02-19,12 
2020-02-20,12 
2020-02-21,12 
2020-02-22,12 
2020-02-23,12 
2020-02-24,12 
2020-02-25,14 
2020-02-26,18 
2020-02-27,38
2020-02-28,57  
2020-02-29,100   
2020-03-1,130   
2020-03-2,191   
2020-03-3,204   
2020-03-4,285   
2020-03-5,377   
2020-03-6,653   
2020-03-7,949   
2020-03-8,1126   
2020-03-9,1209   
2020-03-10,1784   
2020-03-11,2281   
2020-03-12,2876 
2020-03-13,3661   
2020-03-14,4499   
2020-03-15,5437   
2020-03-16,6633   
